# Renewables.ninja Solar PV (Point API) - 51.523, -0.128 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/London, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/London", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "51.5230684", "lon": "-0.12807509704917874", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 00:00,0,0,0,5.899
2019-01-01 01:00,2019-01-01 01:00,0,0,0,5.495
2019-01-01 02:00,2019-01-01 02:00,0,0,0,5.206
2019-01-01 03:00,2019-01-01 03:00,0,0,0,5.268
2019-01-01 04:00,2019-01-01 04:00,0,0,0,5.557
2019-01-01 05:00,2019-01-01 05:00,0,0,0,5.899
2019-01-01 06:00,2019-01-01 06:00,0,0,0,5.989
2019-01-01 07:00,2019-01-01 07:00,0,0,0,6.129
2019-01-01 08:00,2019-01-01 08:00,0.002,0.002,0.007,6.234
2019-01-01 09:00,2019-01-01 09:00,0.023,0.005,0.032,6.728
2019-01-01 10:00,2019-01-01 10:00,0.049,0.009,0.057,7.402
2019-01-01 11:00,2019-01-01 11:00,0.074,0.016,0.077,8.139
2019-01-01 12:00,2019-01-01 12:00,0.110,0.037,0.095,8.789
2019-01-01 13:00,2019-01-01 13:00,0.158,0.089,0.094,9.097
2019-01-01 14:00,2019-01-01 14:00,0.145,0.105,0.064,8.671
2019-01-01 15:00,2019-01-01 15:00,0.026,0.024,0.017,6.969
2019-01-01 16:00,2019-01-01 16:00,0,0,0,4.998
2019-01-01 17:00,2019-01-01 17:00,0,0,0,3.997
2019-01-01 18:00,2019-01-01 18:00,0,0,0,3.256
2019-01-01 19:00,2019-01-01 19:00,0,0,0,2.704
2019-01-01 20:00,2019-01-01 20:00,0,0,0,2.143
2019-01-01 21:00,2019-01-01 21:00,0,0,0,2.172
2019-01-01 22:00,2019-01-01 22:00,0,0,0,1.902
2019-01-01 23:00,2019-01-01 23:00,0,0,0,1.515
2019-01-02 00:00,2019-01-02 00:00,0,0,0,1.414
2019-01-02 01:00,2019-01-02 01:00,0,0,0,1.312
2019-01-02 02:00,2019-01-02 02:00,0,0,0,0.979
2019-01-02 03:00,2019-01-02 03:00,0,0,0,0.883
2019-01-02 04:00,2019-01-02 04:00,0,0,0,0.466
2019-01-02 05:00,2019-01-02 05:00,0,0,0,0.122
