local_datetime,day_ahead_price,SP,imbalance_price,valueSum,temperature,TCO2_per_h,gCO2_per_kWh,nuclear,biomass,coal,gas,hydro,wind,solar,demand,pumped_storage,wind_onshore,wind_offshore,belgian,dutch,french,ireland,northern_ireland,irish
2020-01-01T00:00:00Z,35.28,1,50.9,50.9,6.2,4445.670000000001,162.39890410958907,6.953,2.483,0.67,7.912,0.672,6.127,0,27.375,0,4.140245,2.335105,0.854,0.854,1.704,0,0,-0.202
2020-01-01T00:30:00Z,37.01,2,51,51,6.2,4668.45,167.50206307631586,6.949,2.481,0.67,8.42,0.669,6.126,0,27.871,0,4.098960999999999,2.541627,0.854,0.852,1.704,0,0,-0.15
2020-01-01T01:00:00Z,37.78,3,29.37006,29.37006,6.2,4562.072,166.26838690866683,6.952,2.478,0.67,8.037,0.662,6.083,0,27.438,0,4.020431,2.585939,0.854,0.852,1.704,0,0,-0.052
2020-01-01T01:30:00Z,35.6,4,28.52,28.52,6.2,4342.128,163.38525958033634,6.948,2.465,0.67,7.499,0.591,5.847,8.210000000000001e-6,26.57600821,0,3.903878,2.507583,0.854,0.852,1.704,0,0,-0.066
2020-01-01T02:00:00Z,31.7,5,25.78,25.78,6.2,4123.677,159.12287533726106,6.954,2.477,0.669,7.02,0.548,5.691,4.83e-5,25.9150483,0,3.783775,2.437297,0.854,0.852,1.704,0,0,-0.132
2020-01-01T02:30:00Z,32.57,6,24.77018,24.77018,6.2,4045.244,157.69700347796933,6.953,2.472,0.67,6.841,0.546,5.614,2.96e-6,25.65200296,0,3.6226409999999998,2.518612,0.854,0.852,1.704,0,0,-0.15
2020-01-01T03:00:00Z,28.97,7,50.5,50.5,6.2,3971.888,156.80568495854718,6.947,2.482,0.67,7.343,0.527,5.453,0,25.33,0,3.70704,2.275846,0.854,0.204,1.704,0,0,-0.074
2020-01-01T03:30:00Z,27.98,8,50,50,6.2,3818.036000000001,154.44504672141096,6.95,2.461,0.67,6.995,0.429,5.338,0,24.721,0,3.702889,2.147664,0.854,0.174,1.704,0,0,-0.074
2020-01-01T04:00:00Z,31.4,9,23.93006,23.93006,6.2,3748.106,151.33379321677972,6.956,2.468,0.67,6.902,0.44,5.525,1.45e-4,24.767145,0,3.915059,2.1076889999999997,0,0.102,1.704,0,0,-0.074
2020-01-01T04:30:00Z,30.12,10,23.93006,23.93006,6.2,3672.521,147.69247164803346,6.962,2.464,0.671,6.709,0.438,5.816,0,24.866,0,3.979518,2.184145,0,0.102,1.704,0,0,-0.074
2020-01-01T05:00:00Z,27.12,11,6,6,6.2,3529.986,143.1346200632552,6.96,2.482,0.67,6.08,0.475,5.973,0,24.662,0,4.302036,2.014585,0.182,0.322,1.7,0,0,-0.074
2020-01-01T05:30:00Z,27.31,12,6,6,6.2,3619.67,146.1607106803957,6.957,2.489,0.67,6.284,0.479,5.85,0,24.765,0,4.336143,1.820311,0.184,0.336,1.7,0,0,-0.07
2020-01-01T06:00:00Z,26.43,13,23.82,23.82,6.2,3743.202,149.96802884615386,6.963,2.395,0.67,6.22,0.486,5.916,0,24.96,0,4.387472,1.848074,0.818,0.592,1.704,0,0.014,0.014
2020-01-01T06:30:00Z,28.12,14,31.69,31.69,6.2,3856.083,153.0856963738483,6.96,2.369,0.669,6.577,0.493,5.819,4.83e-5,25.1890483,0,4.4208,1.816714,0.84,0.598,1.704,0,0,-0.044
2020-01-01T07:00:00Z,26.86,15,23.98,23.98,6.2,3948.45,155.78196931933246,6.955,2.462,0.67,6.594,0.534,5.639,1.32e-6,25.34600132,0,4.473598,1.657199,0.854,0.788,1.704,0,0,-0.08
2020-01-01T07:30:00Z,27.34,16,52,52,6.2,4083.1619999999994,160.58986237404878,6.964,2.468,0.67,6.82,0.535,5.459,2.59e-5,25.4260259,0,4.548757999999999,1.424329,0.854,0.792,1.704,0,0.014,0.014
2020-01-01T08:00:00Z,28.74,17,52,52,6.2,4320.233,167.61329108106722,6.959,2.441,0.865,6.894,0.665,5.381,2.52e-6,25.775002519999997,0,4.69049,1.177215,0.854,0.852,1.704,0,0.014,0.014
2020-01-01T08:30:00Z,36.02,18,52,52,6.2,4701.4,178.0229808455088,6.953,2.455,1.114,7.265,0.754,5.296,0.00195,26.40895,0,4.66954,1.315088,0.854,0.852,1.704,0,0.014,0.014
2020-01-01T09:00:00Z,37.86,19,52,52,6.2,5315.934,191.65013681740015,6.957,2.463,1.196,8.683,0.793,5.054,0.0337,27.7377,0,4.648533,1.239669,0.854,0.854,1.704,0.018,0,-0.036
2020-01-01T09:30:00Z,34.48,20,51,51,6.2,5814.454,199.9468363136176,6.957,2.458,1.264,9.537,0.847,5.074,0.205,29.08,0,4.589738,1.260093,0.854,0.854,1.704,0.118,0.062,0.18
2020-01-01T10:00:00Z,37.61,21,51.9,51.9,6.2,6168.414,202.36250902171773,6.96,2.481,1.37,10.203,0.853,5.339,0.476,30.482,0,4.676323,1.3972,0.902,0.902,1.802,0.024,0.072,0.096
2020-01-01T10:30:00Z,36.08,22,51,51,6.2,6320.369,201.36900627648387,6.956,2.48,1.425,10.393,0.824,5.699,0.754,31.387,0,5.074955,1.351601,0.902,0.904,1.802,0.082,0.068,0.15
2020-01-01T11:00:00Z,43.69,23,25.59,25.59,6.2,6360.9580000000005,197.83404347961311,6.955,2.487,1.324,10.552,0.845,5.933,0.909,32.153,0,5.408872000000001,1.389082,0.98,0.978,1.958,0.134,0.078,0.212
2020-01-01T11:30:00Z,42.49,24,7.5,7.5,6.2,6660.179,200.26999639162855,6.948,2.515,1.305,11.371,0.778,6.199,1.01,33.256,0,5.820402,1.340559,0.98,0.98,1.96,0.122,0.068,0.19
2020-01-01T12:00:00Z,40.73,25,51.9,51.9,6.2,7068.783,206.8286566989496,6.955,2.498,1.451,12.29,0.773,6.226,0.98,34.177,0.004,6.0532770000000005,1.276769,1,1,2,0.01,0,-0.028
2020-01-01T12:30:00Z,41.06,26,51.9,51.9,6.2,7237.959,209.61971096759245,6.952,2.491,1.519,12.504,0.786,6.27,0.987,34.529,0,6.0013119999999995,1.370286,1,1,2,0,0.02,0.02
2020-01-01T13:00:00Z,41.58,27,51,51,6.2,7334.595,210.78845269571215,6.961,2.485,1.551,12.582,0.783,6.4,0.934,34.796,0,5.720228,1.548002,1,1,2,0.026,0.074,0.1
2020-01-01T13:30:00Z,41.26,28,51,51,6.2,7255.593,208.61994306909344,6.968,2.481,1.601,12.208,0.806,6.769,0.798,34.779,0,5.756719,1.586265,1,1,2,0.104,0.044,0.148
2020-01-01T14:00:00Z,40.67,29,50.75,50.75,6.2,7144.072999999999,204.74816576865757,6.961,2.483,1.485,11.984,0.84,7.155,0.65,34.892,0,5.832498999999999,1.872853,1,1,2,0.252,0.082,0.334
2020-01-01T14:30:00Z,36.61,30,7.5,7.5,6.2,7079.942999999999,202.74170270038084,6.964,2.485,1.429,11.991,0.841,7.451,0.458,34.921,0,5.9964960000000005,1.936725,1,1,2,0.22,0.082,0.302
2020-01-01T15:00:00Z,36.89,31,7.5,7.5,6.2,7170.703000000001,203.84634846632747,6.961,2.427,1.441,12.103,0.934,7.625,0.252,35.177,0.038,6.129601,2.004923,0.972,0.956,2,0.358,0.082,0.44
2020-01-01T15:30:00Z,37.5,32,50.8,50.8,6.2,7378.886,206.61161791800365,6.967,2.411,1.542,12.252,0.953,7.943,0.0958,35.713800000000006,0.03,6.169527,2.1516219999999997,0.972,0.954,2,0.484,0.082,0.566
2020-01-01T16:00:00Z,44.63,33,52,52,6.2,7576.595,206.90168845390272,6.964,2.477,1.537,12.667,0.957,8.317,0.0123,36.6193,0.102,6.394116,2.259887,1.02,1,2,0.504,0.082,0.586
2020-01-01T16:30:00Z,47.92,34,50.8,50.8,6.2,7471.786,197.7381725526686,6.957,2.5,1.492,12.501,0.971,8.641,2.6e-4,37.78626,1.138,6.551889,2.372205,1.02,1,2,0.504,0.082,0.586
2020-01-01T17:00:00Z,49.39,35,52,52,6.2,7544.553000000001,196.48296786290956,6.956,2.574,1.519,12.623,0.992,8.622,0,38.398,1.546,6.613703,2.4644470000000003,0.968,0.98,2,0.504,0.082,0.586
2020-01-01T17:30:00Z,47.8,36,52,52,6.2,7512.354,196.4116816565572,6.962,2.558,1.576,12.413,0.993,8.758,0,38.248,1.424,6.6224799999999995,2.46638,0.936,0.978,2,0.504,0.082,0.586
2020-01-01T18:00:00Z,48.15,37,51.9,51.9,6.2,7585.423,198.91495778045837,6.961,2.551,1.611,12.616,0.965,8.946,0,38.134,1.002,6.748232,2.535522,0.13,0.896,2,0.504,0.082,0.586
2020-01-01T18:30:00Z,45.95,38,51.5,51.5,6.2,7470.669,199.32946450012008,6.959,2.535,1.619,12.313,0.961,9.296,0,37.479,0.316,6.804625,2.657318,0.1,0.894,2,0.504,0.082,0.586
2020-01-01T19:00:00Z,43.87,39,49.95,49.95,6.2,7076.639,192.4307002039429,6.965,2.495,1.609,11.551,0.961,9.6,0,36.775,0.282,6.919167000000001,2.721377,0.128,0.726,2,0.504,0.082,0.586
2020-01-01T19:30:00Z,42.65,40,49.75,49.75,6.2,6680.511,186.6638073150968,6.957,2.511,1.621,10.517,0.904,9.745,0,35.789,0.226,7.057180000000001,2.778908,0.128,0.722,2,0.504,0.082,0.586
2020-01-01T20:00:00Z,36.47,41,49.75,49.75,6.2,6381.1849999999995,184.13992612685405,6.959,2.513,1.523,9.855,0.741,9.611,0,34.654,0.032,7.146675,2.544507,0.342,0.834,2,0.504,0.082,0.586
2020-01-01T20:30:00Z,35.59,42,51.5,51.5,6.2,5861.729,175.30142353011544,6.96,2.503,1.357,8.932,0.549,9.705,0,33.438,0.01,7.267787,2.430457,0.334,0.836,2,0.504,0.082,0.586
2020-01-01T21:00:00Z,37.74,43,49.45,49.45,6.2,5665.267999999999,172.03449637120036,6.968,2.459,1.384,8.261,0.443,9.98,0,32.931,0,7.478503,2.489638,0,0.948,1.902,0.504,0.082,0.586
2020-01-01T21:30:00Z,39.41,44,51.5,51.5,6.2,5029.261,161.15810555324128,6.964,2.314,1.225,7.068,0.439,9.769,0,31.207,0,7.403289,2.420697,0,0.95,1.892,0.504,0.082,0.586
2020-01-01T22:00:00Z,40.16,45,51.5,51.5,6.2,4685.68,154.75526785124512,6.971,2.395,1.032,6.809,0.439,9.77,0,30.278,0,7.415981,2.4668609999999997,0,0.854,1.422,0.504,0.082,0.586
2020-01-01T22:30:00Z,37.98,46,49.45,49.45,6.2,4165.183,143.33045423262217,6.966,2.16,0.931,5.804,0.437,9.916,0,29.06,0,7.510762,2.452823,0,0.852,1.408,0.504,0.082,0.586
2020-01-01T23:00:00Z,44.49,47,50.05,50.05,6.2,3586.841,133.6080235416822,6.967,1.961,0.891,5.121,0.418,9.8,0,26.846,0.008,7.634473,2.422617,0.03,0.41,0.684,0.504,0.082,0.586
2020-01-01T23:30:00Z,37.91,48,49.95,49.95,6.2,3119.532,121.24575381864824,6.968,1.725,0.67,4.553,0.419,9.756,0,25.729,0,7.541955,2.438402,0.056,0.396,0.656,0.504,0.082,0.586
2020-01-02T00:00:00Z,28.36,1,2.5,2.5,7.3,2834.7729999999997,110.85023266726624,6.961,1.649,0.669,4.108,0.404,9.906,0,25.573,0,7.210379,2.5728240000000002,0.118,0.13,1.16,0.504,0.082,0.586
2020-01-02T00:30:00Z,26.66,2,2.5,2.5,7.3,2873.5789999999997,110.47977700884276,6.962,1.865,0.669,4.149,0.403,10.1,0,26.01,0,7.268951,2.656428,0.116,0.124,1.152,0.504,0.082,0.586
2020-01-02T01:00:00Z,28.3,3,49,49,7.3,3015.8120000000004,116.49459208899876,6.964,2.02,0.668,4.396,0.403,10.157,0,25.888,0,7.474233,2.647326,0,0.262,0.432,0.504,0.082,0.586
2020-01-02T01:30:00Z,23.1,4,2.5,2.5,7.3,2943.078,114.54339534521678,6.963,2.074,0.668,4.199,0.404,10.152,0,25.694,0,7.390143,2.736014,0,0.264,0.384,0.504,0.082,0.586
2020-01-02T02:00:00Z,26.04,5,2.5,2.5,7.3,3106.7129999999997,119.4384298950444,6.963,2.099,0.673,4.734,0.402,10.242,0,26.011,0,7.354818,2.861972,0,0.312,-1.08,0.504,0.082,0.586
2020-01-02T02:30:00Z,20.85,6,8,8,7.3,3059.596,117.14959604855076,6.964,2.099,0.694,4.579,0.4,10.483,0,26.117,0,7.191259,3.069234,0,0.312,-1.188,0.504,0.082,0.586
2020-01-02T03:00:00Z,27.62,7,25.85,25.85,7.3,2993.037,114.5218911341194,6.961,2.137,0.717,4.623,0.398,10.585,6.44e-5,26.1350644,0,7.23666,3.235153,0,0.128,-1.618,0.504,0.082,0.586
2020-01-02T03:30:00Z,23.12,8,25.85,25.85,7.3,2958.177,112.8644410530332,6.96,2.115,0.709,4.564,0.387,10.763,0,26.21,0,7.131871,3.397058,0,0.126,-1.628,0.504,0.082,0.586
2020-01-02T04:00:00Z,28.95,9,49,49,7.3,2883.5469999999996,108.42440308328632,6.965,2.098,0.691,4.988,0.387,10.88,0,26.595,0,7.16563,3.5586599999999997,0,-0.344,-1.628,0.504,0.082,0.586
2020-01-02T04:30:00Z,29.6,10,27.74,27.74,7.3,2930.683,109.1176930523494,6.962,2.106,0.723,5.07,0.423,10.988,0,26.858,0,7.315622,3.541688,0,-0.378,-1.628,0.504,0.082,0.586
2020-01-02T05:00:00Z,34.93,11,31.85,31.85,7.3,2963.911,110.85843058049072,6.967,2.105,0.793,4.665,0.503,11.117,0,26.736,0,6.971057,3.852896,0,-0.138,-1.372,0.504,0.082,0.586
2020-01-02T05:30:00Z,33.31,12,2.5,2.5,7.3,3168.6859999999997,116.06483279000769,6.969,2.1,0.99,4.71,0.526,11.42,0,27.301,0,7.120393,4.034172,0,-0.132,-1.368,0.504,0.082,0.586
2020-01-02T06:00:00Z,33.97,13,7.5,7.5,7.3,4072.527,139.16983904589415,6.964,2.114,1.477,6.094,0.533,11.495,0,29.263,0,7.148563,4.308493,0,-0.3,-1.742,0.504,0.082,0.586
2020-01-02T06:30:00Z,24.63,14,0.5,0.5,7.3,4846.906,155.20528995484966,6.967,2.218,1.828,7.193,0.568,11.869,0,31.229,0,7.248394,4.312754,0,-0.302,-1.724,0.504,0.082,0.586
2020-01-02T07:00:00Z,38.51,15,42.12,42.12,7.3,5612.478,168.43666156477897,6.965,2.371,1.94,8.53,0.575,12.354,0,33.321,0,7.654579,4.640255,0,-0.144,-0.958,0.504,0.082,0.586
2020-01-02T07:30:00Z,28.25,16,7.5,7.5,7.3,6334.594,182.13323749281196,6.964,2.431,2.264,9.567,0.574,12.394,0,34.78,0,7.681359,4.470503,0,-0.142,-0.924,0.504,0.082,0.586
2020-01-02T08:00:00Z,21.34,17,6,6,7.3,6666.857999999999,186.1574847122553,6.965,2.434,2.448,9.826,0.63,12.922,0,35.813,0.002,7.970136,4.74325,0,0,-1.11,0.504,0.082,0.586
2020-01-02T08:30:00Z,34.7,18,7.55,7.55,7.3,7272.366,196.6571588040212,6.955,2.425,2.868,10.367,0.629,13.14,0.00191999999999999,36.97992,0.008,8.214374,4.76582,0,0,-1.112,0.504,0.082,0.586
2020-01-02T09:00:00Z,25.68,19,6,6,7.3,7525.759,201.10036902538283,6.958,2.412,3.187,10.136,0.659,13.422,0.0629,37.4229,0,8.27098,4.871809,0,0,-0.224,0.504,0.082,0.586
2020-01-02T09:30:00Z,27.56,20,6,6,7.3,7653.278,200.37906477457193,6.942,2.297,3.308,10.201,0.667,13.911,0.256,38.194,0.026,8.527186,5.156806,0,0,-0.18,0.504,0.082,0.586
2020-01-02T10:00:00Z,25.36,21,6,6,7.3,7709.42,199.23556014989015,6.935,2.117,3.294,10.423,0.688,14.271,0.381,38.695,0,8.897132,5.357118000000001,0,0,-0.116,0.504,0.082,0.586
